Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random1000.bibtex;1;0;Initialization;Time;698009357
Epsilon;single;random1000.bibtex;1;0;Initialization;Memory;4291680
Epsilon;single;random1000.bibtex;1;0;Load;Time;446067855
Epsilon;single;random1000.bibtex;1;0;Load;Memory;7157456
Epsilon;single;random1000.bibtex;1;0;Run;Time;169048132182
Epsilon;single;random1000.bibtex;1;0;Run;Memory;17412968
Epsilon;single;random1000.bibtex;1;0;Run;Problems;1
Epsilon;single;random1000.bibtex;2;0;Initialization;Time;700239726
Epsilon;single;random1000.bibtex;2;0;Initialization;Memory;4291624
Epsilon;single;random1000.bibtex;2;0;Load;Time;428917337
Epsilon;single;random1000.bibtex;2;0;Load;Memory;7157648
Epsilon;single;random1000.bibtex;2;0;Run;Time;194725681687
Epsilon;single;random1000.bibtex;2;0;Run;Memory;17413656
Epsilon;single;random1000.bibtex;2;0;Run;Problems;0
Epsilon;single;random1000.bibtex;3;0;Initialization;Time;684660554
Epsilon;single;random1000.bibtex;3;0;Initialization;Memory;4288280
Epsilon;single;random1000.bibtex;3;0;Load;Time;437292214
Epsilon;single;random1000.bibtex;3;0;Load;Memory;7157008
Epsilon;single;random1000.bibtex;3;0;Run;Time;169061435641
Epsilon;single;random1000.bibtex;3;0;Run;Memory;17414008
Epsilon;single;random1000.bibtex;3;0;Run;Problems;1
Epsilon;single;random1000.bibtex;4;0;Initialization;Time;704739481
Epsilon;single;random1000.bibtex;4;0;Initialization;Memory;4290440
Epsilon;single;random1000.bibtex;4;0;Load;Time;390729924
Epsilon;single;random1000.bibtex;4;0;Load;Memory;6192144
Epsilon;single;random1000.bibtex;4;0;Run;Time;5757887098
Epsilon;single;random1000.bibtex;4;0;Run;Memory;14321296
Epsilon;single;random1000.bibtex;4;0;Run;Problems;1
Epsilon;single;random1000.bibtex;5;0;Initialization;Time;698005547
Epsilon;single;random1000.bibtex;5;0;Initialization;Memory;4437504
Epsilon;single;random1000.bibtex;5;0;Load;Time;434459450
Epsilon;single;random1000.bibtex;5;0;Load;Memory;7157672
Epsilon;single;random1000.bibtex;5;0;Run;Time;134332480907
Epsilon;single;random1000.bibtex;5;0;Run;Memory;17412800
Epsilon;single;random1000.bibtex;5;0;Run;Problems;0
Epsilon;single;random1000.bibtex;6;0;Initialization;Time;691843417
Epsilon;single;random1000.bibtex;6;0;Initialization;Memory;4291640
Epsilon;single;random1000.bibtex;6;0;Load;Time;445967883
Epsilon;single;random1000.bibtex;6;0;Load;Memory;7138368
Epsilon;single;random1000.bibtex;6;0;Run;Time;182382797835
Epsilon;single;random1000.bibtex;6;0;Run;Memory;17366904
Epsilon;single;random1000.bibtex;6;0;Run;Problems;1
Epsilon;single;random1000.bibtex;7;0;Initialization;Time;668374265
Epsilon;single;random1000.bibtex;7;0;Initialization;Memory;4291504
Epsilon;single;random1000.bibtex;7;0;Load;Time;436009001
Epsilon;single;random1000.bibtex;7;0;Load;Memory;7157688
Epsilon;single;random1000.bibtex;7;0;Run;Time;168627378573
Epsilon;single;random1000.bibtex;7;0;Run;Memory;17412816
Epsilon;single;random1000.bibtex;7;0;Run;Problems;0
Epsilon;single;random1000.bibtex;8;0;Initialization;Time;690264603
Epsilon;single;random1000.bibtex;8;0;Initialization;Memory;4288688
Epsilon;single;random1000.bibtex;8;0;Load;Time;456092581
Epsilon;single;random1000.bibtex;8;0;Load;Memory;7114760
Epsilon;single;random1000.bibtex;8;0;Run;Time;193790226740
Epsilon;single;random1000.bibtex;8;0;Run;Memory;17266312
Epsilon;single;random1000.bibtex;8;0;Run;Problems;1
Epsilon;single;random1000.bibtex;9;0;Initialization;Time;713105219
Epsilon;single;random1000.bibtex;9;0;Initialization;Memory;4288216
Epsilon;single;random1000.bibtex;9;0;Load;Time;467750536
Epsilon;single;random1000.bibtex;9;0;Load;Memory;7137488
Epsilon;single;random1000.bibtex;9;0;Run;Time;199862852241
Epsilon;single;random1000.bibtex;9;0;Run;Memory;17366584
Epsilon;single;random1000.bibtex;9;0;Run;Problems;1
Epsilon;single;random1000.bibtex;10;0;Initialization;Time;695276480
Epsilon;single;random1000.bibtex;10;0;Initialization;Memory;4291624
Epsilon;single;random1000.bibtex;10;0;Load;Time;482096227
Epsilon;single;random1000.bibtex;10;0;Load;Memory;7157760
Epsilon;single;random1000.bibtex;10;0;Run;Time;198411760047
Epsilon;single;random1000.bibtex;10;0;Run;Memory;17413768
Epsilon;single;random1000.bibtex;10;0;Run;Problems;0
Epsilon;single;random1000.bibtex;11;0;Initialization;Time;695577565
Epsilon;single;random1000.bibtex;11;0;Initialization;Memory;4288280
Epsilon;single;random1000.bibtex;11;0;Load;Time;456400315
Epsilon;single;random1000.bibtex;11;0;Load;Memory;7157384
Epsilon;single;random1000.bibtex;11;0;Run;Time;200461363520
Epsilon;single;random1000.bibtex;11;0;Run;Memory;17412960
Epsilon;single;random1000.bibtex;11;0;Run;Problems;0
Epsilon;single;random1000.bibtex;12;0;Initialization;Time;684326931
Epsilon;single;random1000.bibtex;12;0;Initialization;Memory;4291568
Epsilon;single;random1000.bibtex;12;0;Load;Time;440421547
Epsilon;single;random1000.bibtex;12;0;Load;Memory;7157544
Epsilon;single;random1000.bibtex;12;0;Run;Time;195852343847
Epsilon;single;random1000.bibtex;12;0;Run;Memory;17413472
Epsilon;single;random1000.bibtex;12;0;Run;Problems;1
Epsilon;single;random1000.bibtex;13;0;Initialization;Time;638734104
Epsilon;single;random1000.bibtex;13;0;Initialization;Memory;4288352
Epsilon;single;random1000.bibtex;13;0;Load;Time;436082710
Epsilon;single;random1000.bibtex;13;0;Load;Memory;7157080
Epsilon;single;random1000.bibtex;13;0;Run;Time;195926219112
Epsilon;single;random1000.bibtex;13;0;Run;Memory;17413032
Epsilon;single;random1000.bibtex;13;0;Run;Problems;1
Epsilon;single;random1000.bibtex;14;0;Initialization;Time;675878336
Epsilon;single;random1000.bibtex;14;0;Initialization;Memory;4291568
Epsilon;single;random1000.bibtex;14;0;Load;Time;447673139
Epsilon;single;random1000.bibtex;14;0;Load;Memory;6826336
Epsilon;single;random1000.bibtex;14;0;Run;Time;155520319313
Epsilon;single;random1000.bibtex;14;0;Run;Memory;17026504
Epsilon;single;random1000.bibtex;14;0;Run;Problems;1
Epsilon;single;random1000.bibtex;15;0;Initialization;Time;701548156
Epsilon;single;random1000.bibtex;15;0;Initialization;Memory;4463080
Epsilon;single;random1000.bibtex;15;0;Load;Time;439582700
Epsilon;single;random1000.bibtex;15;0;Load;Memory;7157544
Epsilon;single;random1000.bibtex;15;0;Run;Time;164883867778
Epsilon;single;random1000.bibtex;15;0;Run;Memory;17414224
Epsilon;single;random1000.bibtex;15;0;Run;Problems;1
Epsilon;single;random1000.bibtex;16;0;Initialization;Time;622167637
Epsilon;single;random1000.bibtex;16;0;Initialization;Memory;4288232
Epsilon;single;random1000.bibtex;16;0;Load;Time;453396234
Epsilon;single;random1000.bibtex;16;0;Load;Memory;7157288
Epsilon;single;random1000.bibtex;16;0;Run;Time;135258618378
Epsilon;single;random1000.bibtex;16;0;Run;Memory;17413616
Epsilon;single;random1000.bibtex;16;0;Run;Problems;1
Epsilon;single;random1000.bibtex;17;0;Initialization;Time;700273339
Epsilon;single;random1000.bibtex;17;0;Initialization;Memory;4291624
Epsilon;single;random1000.bibtex;17;0;Load;Time;454910547
Epsilon;single;random1000.bibtex;17;0;Load;Memory;7157544
Epsilon;single;random1000.bibtex;17;0;Run;Time;164554661227
Epsilon;single;random1000.bibtex;17;0;Run;Memory;17412800
Epsilon;single;random1000.bibtex;17;0;Run;Problems;0
Epsilon;single;random1000.bibtex;18;0;Initialization;Time;670025035
Epsilon;single;random1000.bibtex;18;0;Initialization;Memory;4291624
Epsilon;single;random1000.bibtex;18;0;Load;Time;463913914
Epsilon;single;random1000.bibtex;18;0;Load;Memory;7157448
Epsilon;single;random1000.bibtex;18;0;Run;Time;184133769668
Epsilon;single;random1000.bibtex;18;0;Run;Memory;17412960
Epsilon;single;random1000.bibtex;18;0;Run;Problems;1
Epsilon;single;random1000.bibtex;19;0;Initialization;Time;681684297
Epsilon;single;random1000.bibtex;19;0;Initialization;Memory;4291624
