Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Fulib;single;random10.bibtex;1;0;Initialization;Time;1716418
Fulib;single;random10.bibtex;1;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;1;0;Load;Time;16640809
Fulib;single;random10.bibtex;1;0;Load;Memory;2325184
Fulib;single;random10.bibtex;1;0;Run;Time;2782141
Fulib;single;random10.bibtex;1;0;Run;Memory;2326040
Fulib;single;random10.bibtex;1;0;Run;Problems;1
Fulib;single;random10.bibtex;2;0;Initialization;Time;1705079
Fulib;single;random10.bibtex;2;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;2;0;Load;Time;19740130
Fulib;single;random10.bibtex;2;0;Load;Memory;2325344
Fulib;single;random10.bibtex;2;0;Run;Time;4826206
Fulib;single;random10.bibtex;2;0;Run;Memory;2325880
Fulib;single;random10.bibtex;2;0;Run;Problems;0
Fulib;single;random10.bibtex;3;0;Initialization;Time;1733930
Fulib;single;random10.bibtex;3;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;3;0;Load;Time;15494743
Fulib;single;random10.bibtex;3;0;Load;Memory;2325368
Fulib;single;random10.bibtex;3;0;Run;Time;2570443
Fulib;single;random10.bibtex;3;0;Run;Memory;2326048
Fulib;single;random10.bibtex;3;0;Run;Problems;1
Fulib;single;random10.bibtex;4;0;Initialization;Time;1658857
Fulib;single;random10.bibtex;4;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;4;0;Load;Time;11655500
Fulib;single;random10.bibtex;4;0;Load;Memory;2319776
Fulib;single;random10.bibtex;4;0;Run;Time;4102393
Fulib;single;random10.bibtex;4;0;Run;Memory;2329240
Fulib;single;random10.bibtex;4;0;Run;Problems;45
Fulib;single;random10.bibtex;5;0;Initialization;Time;1672456
Fulib;single;random10.bibtex;5;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;5;0;Load;Time;14922165
Fulib;single;random10.bibtex;5;0;Load;Memory;2325512
Fulib;single;random10.bibtex;5;0;Run;Time;2492993
Fulib;single;random10.bibtex;5;0;Run;Memory;2326048
Fulib;single;random10.bibtex;5;0;Run;Problems;1
Fulib;single;random10.bibtex;6;0;Initialization;Time;1888698
Fulib;single;random10.bibtex;6;0;Initialization;Memory;2296920
Fulib;single;random10.bibtex;6;0;Load;Time;18654798
Fulib;single;random10.bibtex;6;0;Load;Memory;2324736
Fulib;single;random10.bibtex;6;0;Run;Time;3504690
Fulib;single;random10.bibtex;6;0;Run;Memory;2325488
Fulib;single;random10.bibtex;6;0;Run;Problems;1
Fulib;single;random10.bibtex;7;0;Initialization;Time;1675565
Fulib;single;random10.bibtex;7;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;7;0;Load;Time;19777948
Fulib;single;random10.bibtex;7;0;Load;Memory;2325304
Fulib;single;random10.bibtex;7;0;Run;Time;2820740
Fulib;single;random10.bibtex;7;0;Run;Memory;2325984
Fulib;single;random10.bibtex;7;0;Run;Problems;0
Fulib;single;random10.bibtex;8;0;Initialization;Time;1740897
Fulib;single;random10.bibtex;8;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;8;0;Load;Time;15552306
Fulib;single;random10.bibtex;8;0;Load;Memory;2323672
Fulib;single;random10.bibtex;8;0;Run;Time;2414271
Fulib;single;random10.bibtex;8;0;Run;Memory;2325728
Fulib;single;random10.bibtex;8;0;Run;Problems;11
Fulib;single;random10.bibtex;9;0;Initialization;Time;2505244
Fulib;single;random10.bibtex;9;0;Initialization;Memory;2296920
Fulib;single;random10.bibtex;9;0;Load;Time;19445221
Fulib;single;random10.bibtex;9;0;Load;Memory;2324736
Fulib;single;random10.bibtex;9;0;Run;Time;3306831
Fulib;single;random10.bibtex;9;0;Run;Memory;2325488
Fulib;single;random10.bibtex;9;0;Run;Problems;1
Fulib;single;random10.bibtex;10;0;Initialization;Time;1724652
Fulib;single;random10.bibtex;10;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;10;0;Load;Time;15218225
Fulib;single;random10.bibtex;10;0;Load;Memory;2325312
Fulib;single;random10.bibtex;10;0;Run;Time;2367945
Fulib;single;random10.bibtex;10;0;Run;Memory;2325848
Fulib;single;random10.bibtex;10;0;Run;Problems;0
Fulib;single;random10.bibtex;11;0;Initialization;Time;2035909
Fulib;single;random10.bibtex;11;0;Initialization;Memory;2296760
Fulib;single;random10.bibtex;11;0;Load;Time;19719060
Fulib;single;random10.bibtex;11;0;Load;Memory;2325472
Fulib;single;random10.bibtex;11;0;Run;Time;3245632
Fulib;single;random10.bibtex;11;0;Run;Memory;2326008
Fulib;single;random10.bibtex;11;0;Run;Problems;0
Fulib;single;random10.bibtex;12;0;Initialization;Time;1964753
Fulib;single;random10.bibtex;12;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;12;0;Load;Time;17503786
Fulib;single;random10.bibtex;12;0;Load;Memory;2325512
Fulib;single;random10.bibtex;12;0;Run;Time;3574705
Fulib;single;random10.bibtex;12;0;Run;Memory;2326048
Fulib;single;random10.bibtex;12;0;Run;Problems;1
Fulib;single;random10.bibtex;13;0;Initialization;Time;1723532
Fulib;single;random10.bibtex;13;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;13;0;Load;Time;16129398
Fulib;single;random10.bibtex;13;0;Load;Memory;2325048
Fulib;single;random10.bibtex;13;0;Run;Time;2851985
Fulib;single;random10.bibtex;13;0;Run;Memory;2326032
Fulib;single;random10.bibtex;13;0;Run;Problems;1
Fulib;single;random10.bibtex;14;0;Initialization;Time;1661262
Fulib;single;random10.bibtex;14;0;Initialization;Memory;2296760
Fulib;single;random10.bibtex;14;0;Load;Time;14856867
Fulib;single;random10.bibtex;14;0;Load;Memory;2322688
Fulib;single;random10.bibtex;14;0;Run;Time;2829108
Fulib;single;random10.bibtex;14;0;Run;Memory;2323944
Fulib;single;random10.bibtex;14;0;Run;Problems;4
Fulib;single;random10.bibtex;15;0;Initialization;Time;1698904
Fulib;single;random10.bibtex;15;0;Initialization;Memory;2297192
Fulib;single;random10.bibtex;15;0;Load;Time;16054262
Fulib;single;random10.bibtex;15;0;Load;Memory;2325376
Fulib;single;random10.bibtex;15;0;Run;Time;2977109
Fulib;single;random10.bibtex;15;0;Run;Memory;2326056
Fulib;single;random10.bibtex;15;0;Run;Problems;1
Fulib;single;random10.bibtex;16;0;Initialization;Time;1634320
Fulib;single;random10.bibtex;16;0;Initialization;Memory;2296760
Fulib;single;random10.bibtex;16;0;Load;Time;15980072
Fulib;single;random10.bibtex;16;0;Load;Memory;2325600
Fulib;single;random10.bibtex;16;0;Run;Time;2779264
Fulib;single;random10.bibtex;16;0;Run;Memory;2326280
Fulib;single;random10.bibtex;16;0;Run;Problems;1
Fulib;single;random10.bibtex;17;0;Initialization;Time;1710746
Fulib;single;random10.bibtex;17;0;Initialization;Memory;2297352
Fulib;single;random10.bibtex;17;0;Load;Time;14889569
Fulib;single;random10.bibtex;17;0;Load;Memory;2325240
Fulib;single;random10.bibtex;17;0;Run;Time;2526718
Fulib;single;random10.bibtex;17;0;Run;Memory;2325848
Fulib;single;random10.bibtex;17;0;Run;Problems;0
Fulib;single;random10.bibtex;18;0;Initialization;Time;1754410
