Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
NMF;single;random10.bibtex;1;0;Initialization;Time;412103900
NMF;single;random10.bibtex;1;0;Initialization;Memory;69791744
NMF;single;random10.bibtex;1;0;Load;Time;132808600
NMF;single;random10.bibtex;1;0;Load;Memory;71974912
NMF;single;random10.bibtex;1;0;Run;Time;14179800
NMF;single;random10.bibtex;1;0;Run;Memory;72077312
NMF;single;random10.bibtex;1;0;Run;Problems;1
NMF;single;random10.bibtex;2;0;Initialization;Time;419908700
NMF;single;random10.bibtex;2;0;Initialization;Memory;70066176
NMF;single;random10.bibtex;2;0;Load;Time;135093600
NMF;single;random10.bibtex;2;0;Load;Memory;72253440
NMF;single;random10.bibtex;2;0;Run;Time;5451100
NMF;single;random10.bibtex;2;0;Run;Memory;72310784
NMF;single;random10.bibtex;2;0;Run;Problems;1
NMF;single;random10.bibtex;3;0;Initialization;Time;413105200
NMF;single;random10.bibtex;3;0;Initialization;Memory;69873664
NMF;single;random10.bibtex;3;0;Load;Time;136444100
NMF;single;random10.bibtex;3;0;Load;Memory;72069120
NMF;single;random10.bibtex;3;0;Run;Time;13581200
NMF;single;random10.bibtex;3;0;Run;Memory;72171520
NMF;single;random10.bibtex;3;0;Run;Problems;1
NMF;single;random10.bibtex;4;0;Initialization;Time;413452800
NMF;single;random10.bibtex;4;0;Initialization;Memory;69840896
NMF;single;random10.bibtex;4;0;Load;Time;140866400
NMF;single;random10.bibtex;4;0;Load;Memory;72077312
NMF;single;random10.bibtex;4;0;Run;Time;3375800
NMF;single;random10.bibtex;4;0;Run;Memory;72114176
NMF;single;random10.bibtex;4;0;Run;Problems;0
NMF;single;random10.bibtex;5;0;Initialization;Time;420171500
NMF;single;random10.bibtex;5;0;Initialization;Memory;69824512
NMF;single;random10.bibtex;5;0;Load;Time;137173900
NMF;single;random10.bibtex;5;0;Load;Memory;72015872
NMF;single;random10.bibtex;5;0;Run;Time;13479200
NMF;single;random10.bibtex;5;0;Run;Memory;72118272
NMF;single;random10.bibtex;5;0;Run;Problems;1
NMF;single;random10.bibtex;6;0;Initialization;Time;422250300
NMF;single;random10.bibtex;6;0;Initialization;Memory;69951488
NMF;single;random10.bibtex;6;0;Load;Time;145552800
NMF;single;random10.bibtex;6;0;Load;Memory;72171520
NMF;single;random10.bibtex;6;0;Run;Time;3540800
NMF;single;random10.bibtex;6;0;Run;Memory;72200192
NMF;single;random10.bibtex;6;0;Run;Problems;0
NMF;single;random10.bibtex;7;0;Initialization;Time;428611800
NMF;single;random10.bibtex;7;0;Initialization;Memory;69931008
NMF;single;random10.bibtex;7;0;Load;Time;134876300
NMF;single;random10.bibtex;7;0;Load;Memory;72114176
NMF;single;random10.bibtex;7;0;Run;Time;1282900
NMF;single;random10.bibtex;7;0;Run;Memory;72142848
NMF;single;random10.bibtex;7;0;Run;Problems;0
NMF;single;random10.bibtex;8;0;Initialization;Time;423690100
NMF;single;random10.bibtex;8;0;Initialization;Memory;70012928
NMF;single;random10.bibtex;8;0;Load;Time;140059600
NMF;single;random10.bibtex;8;0;Load;Memory;72228864
NMF;single;random10.bibtex;8;0;Run;Time;3339600
NMF;single;random10.bibtex;8;0;Run;Memory;72257536
NMF;single;random10.bibtex;8;0;Run;Problems;0
NMF;single;random10.bibtex;9;0;Initialization;Time;410501100
NMF;single;random10.bibtex;9;0;Initialization;Memory;69844992
NMF;single;random10.bibtex;9;0;Load;Time;143233600
NMF;single;random10.bibtex;9;0;Load;Memory;72056832
NMF;single;random10.bibtex;9;0;Run;Time;3414000
NMF;single;random10.bibtex;9;0;Run;Memory;72085504
NMF;single;random10.bibtex;9;0;Run;Problems;0
NMF;single;random10.bibtex;10;0;Initialization;Time;415901900
NMF;single;random10.bibtex;10;0;Initialization;Memory;69922816
NMF;single;random10.bibtex;10;0;Load;Time;142425800
NMF;single;random10.bibtex;10;0;Load;Memory;72142848
NMF;single;random10.bibtex;10;0;Run;Time;2529000
NMF;single;random10.bibtex;10;0;Run;Memory;72167424
NMF;single;random10.bibtex;10;0;Run;Problems;0
NMF;single;random10.bibtex;11;0;Initialization;Time;414934900
NMF;single;random10.bibtex;11;0;Initialization;Memory;69767168
NMF;single;random10.bibtex;11;0;Load;Time;131792600
NMF;single;random10.bibtex;11;0;Load;Memory;71954432
NMF;single;random10.bibtex;11;0;Run;Time;1233600
NMF;single;random10.bibtex;11;0;Run;Memory;71983104
NMF;single;random10.bibtex;11;0;Run;Problems;0
NMF;single;random10.bibtex;12;0;Initialization;Time;406826100
NMF;single;random10.bibtex;12;0;Initialization;Memory;69795840
