Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Initialization;Time;249400787
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Initialization;Memory;4093200
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Load;Time;172856242
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Load;Memory;4918200
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Run;Time;11053093
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Run;Memory;4934696
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;1;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Initialization;Time;242935038
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Initialization;Memory;6186912
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Load;Time;177695304
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Load;Memory;4910880
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Run;Time;9038974
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Run;Memory;4922824
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;2;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Initialization;Time;247094470
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Initialization;Memory;4093384
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Load;Time;172444232
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Load;Memory;4914720
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Run;Time;9486350
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Run;Memory;4926120
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;3;0;Run;Problems;1
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Initialization;Time;237101475
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Initialization;Memory;4092992
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Load;Time;174025280
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Load;Memory;4920360
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Run;Time;11899270
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Run;Memory;4935512
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;4;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Initialization;Time;234196534
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Initialization;Memory;4093312
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Load;Time;180707062
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Load;Memory;4915128
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Run;Time;8949081
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Run;Memory;4926784
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;5;0;Run;Problems;1
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Initialization;Time;244284522
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Initialization;Memory;4089624
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Load;Time;177529759
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Load;Memory;4920328
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Run;Time;10225509
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Run;Memory;4935816
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;6;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Initialization;Time;235059599
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Initialization;Memory;4093384
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Load;Time;183689249
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Load;Memory;4913000
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Run;Time;8460964
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Run;Memory;4923160
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;7;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Initialization;Time;262209160
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Initialization;Memory;4093248
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Load;Time;179816746
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Load;Memory;4920696
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Run;Time;9799928
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Run;Memory;4935848
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;8;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Initialization;Time;235202585
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Initialization;Memory;4093200
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Load;Time;185866316
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Load;Memory;4920424
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Run;Time;10202704
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Run;Memory;4935576
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;9;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Initialization;Time;248773115
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Initialization;Memory;6186920
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Load;Time;184401962
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Load;Memory;4914968
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Run;Time;8854455
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Run;Memory;4928600
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;10;0;Run;Problems;0
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;11;0;Initialization;Time;234045929
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;11;0;Initialization;Memory;6189832
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;11;0;Load;Time;178017082
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;11;0;Load;Memory;4913176
ttc2019.live.EMFSolutionYAMTL;single;random10.bibtex;11;0;Run;Time;8964711
