Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random10.bibtex;1;0;Initialization;Time;1189841138
Epsilon;single;random10.bibtex;1;0;Initialization;Memory;4304728
Epsilon;single;random10.bibtex;1;0;Load;Time;414617046
Epsilon;single;random10.bibtex;1;0;Load;Memory;4884160
Epsilon;single;random10.bibtex;1;0;Run;Time;695859727
Epsilon;single;random10.bibtex;1;0;Run;Memory;12626448
Epsilon;single;random10.bibtex;1;0;Run;Problems;1
Epsilon;single;random10.bibtex;2;0;Initialization;Time;1143835922
Epsilon;single;random10.bibtex;2;0;Initialization;Memory;4302976
Epsilon;single;random10.bibtex;2;0;Load;Time;393851569
Epsilon;single;random10.bibtex;2;0;Load;Memory;4883872
Epsilon;single;random10.bibtex;2;0;Run;Time;656210017
Epsilon;single;random10.bibtex;2;0;Run;Memory;12627016
Epsilon;single;random10.bibtex;2;0;Run;Problems;0
Epsilon;single;random10.bibtex;3;0;Initialization;Time;1114902679
Epsilon;single;random10.bibtex;3;0;Initialization;Memory;4302896
Epsilon;single;random10.bibtex;3;0;Load;Time;404953779
Epsilon;single;random10.bibtex;3;0;Load;Memory;4881864
Epsilon;single;random10.bibtex;3;0;Run;Time;663088824
Epsilon;single;random10.bibtex;3;0;Run;Memory;12627768
Epsilon;single;random10.bibtex;3;0;Run;Problems;1
Epsilon;single;random10.bibtex;4;0;Initialization;Time;1122780666
Epsilon;single;random10.bibtex;4;0;Initialization;Memory;4348920
Epsilon;single;random10.bibtex;4;0;Load;Time;477651208
Epsilon;single;random10.bibtex;4;0;Load;Memory;4871632
Epsilon;single;random10.bibtex;4;0;Run;Time;414751148
Epsilon;single;random10.bibtex;4;0;Run;Memory;12589312
Epsilon;single;random10.bibtex;4;0;Run;Problems;1
Epsilon;single;random10.bibtex;5;0;Initialization;Time;1105477194
Epsilon;single;random10.bibtex;5;0;Initialization;Memory;4296952
Epsilon;single;random10.bibtex;5;0;Load;Time;473303530
Epsilon;single;random10.bibtex;5;0;Load;Memory;4879288
Epsilon;single;random10.bibtex;5;0;Run;Time;612438062
Epsilon;single;random10.bibtex;5;0;Run;Memory;12624352
Epsilon;single;random10.bibtex;5;0;Run;Problems;1
Epsilon;single;random10.bibtex;6;0;Initialization;Time;1108356703
Epsilon;single;random10.bibtex;6;0;Initialization;Memory;4304272
Epsilon;single;random10.bibtex;6;0;Load;Time;472951591
Epsilon;single;random10.bibtex;6;0;Load;Memory;4881040
Epsilon;single;random10.bibtex;6;0;Run;Time;564294488
Epsilon;single;random10.bibtex;6;0;Run;Memory;12625840
Epsilon;single;random10.bibtex;6;0;Run;Problems;1
Epsilon;single;random10.bibtex;7;0;Initialization;Time;1012558650
Epsilon;single;random10.bibtex;7;0;Initialization;Memory;4303152
Epsilon;single;random10.bibtex;7;0;Load;Time;389878794
Epsilon;single;random10.bibtex;7;0;Load;Memory;4884264
Epsilon;single;random10.bibtex;7;0;Run;Time;654434512
Epsilon;single;random10.bibtex;7;0;Run;Memory;12626000
Epsilon;single;random10.bibtex;7;0;Run;Problems;0
Epsilon;single;random10.bibtex;8;0;Initialization;Time;958188480
Epsilon;single;random10.bibtex;8;0;Initialization;Memory;4303128
Epsilon;single;random10.bibtex;8;0;Load;Time;417168490
Epsilon;single;random10.bibtex;8;0;Load;Memory;4881392
Epsilon;single;random10.bibtex;8;0;Run;Time;613756985
Epsilon;single;random10.bibtex;8;0;Run;Memory;12621824
Epsilon;single;random10.bibtex;8;0;Run;Problems;1
Epsilon;single;random10.bibtex;9;0;Initialization;Time;1099634825
Epsilon;single;random10.bibtex;9;0;Initialization;Memory;4304200
Epsilon;single;random10.bibtex;9;0;Load;Time;449291787
Epsilon;single;random10.bibtex;9;0;Load;Memory;4880536
Epsilon;single;random10.bibtex;9;0;Run;Time;678769294
Epsilon;single;random10.bibtex;9;0;Run;Memory;12625440
Epsilon;single;random10.bibtex;9;0;Run;Problems;1
Epsilon;single;random10.bibtex;10;0;Initialization;Time;1143592492
Epsilon;single;random10.bibtex;10;0;Initialization;Memory;4304280
Epsilon;single;random10.bibtex;10;0;Load;Time;427204272
Epsilon;single;random10.bibtex;10;0;Load;Memory;4881544
Epsilon;single;random10.bibtex;10;0;Run;Time;687647673
Epsilon;single;random10.bibtex;10;0;Run;Memory;12625920
Epsilon;single;random10.bibtex;10;0;Run;Problems;0
Epsilon;single;random10.bibtex;11;0;Initialization;Time;1149087587
Epsilon;single;random10.bibtex;11;0;Initialization;Memory;4303232
Epsilon;single;random10.bibtex;11;0;Load;Time;397507777
Epsilon;single;random10.bibtex;11;0;Load;Memory;4884480
Epsilon;single;random10.bibtex;11;0;Run;Time;566460813
Epsilon;single;random10.bibtex;11;0;Run;Memory;12626216
Epsilon;single;random10.bibtex;11;0;Run;Problems;0
Epsilon;single;random10.bibtex;12;0;Initialization;Time;1090623017
Epsilon;single;random10.bibtex;12;0;Initialization;Memory;4303288
Epsilon;single;random10.bibtex;12;0;Load;Time;435188680
Epsilon;single;random10.bibtex;12;0;Load;Memory;4884232
Epsilon;single;random10.bibtex;12;0;Run;Time;665641550
Epsilon;single;random10.bibtex;12;0;Run;Memory;12628248
Epsilon;single;random10.bibtex;12;0;Run;Problems;1
Epsilon;single;random10.bibtex;13;0;Initialization;Time;1126276627
Epsilon;single;random10.bibtex;13;0;Initialization;Memory;4304416
Epsilon;single;random10.bibtex;13;0;Load;Time;409495818
Epsilon;single;random10.bibtex;13;0;Load;Memory;4884288
Epsilon;single;random10.bibtex;13;0;Run;Time;605024717
Epsilon;single;random10.bibtex;13;0;Run;Memory;12627928
Epsilon;single;random10.bibtex;13;0;Run;Problems;1
Epsilon;single;random10.bibtex;14;0;Initialization;Time;998727543
Epsilon;single;random10.bibtex;14;0;Initialization;Memory;4300736
Epsilon;single;random10.bibtex;14;0;Load;Time;432420790
Epsilon;single;random10.bibtex;14;0;Load;Memory;4878120
Epsilon;single;random10.bibtex;14;0;Run;Time;610835583
Epsilon;single;random10.bibtex;14;0;Run;Memory;12622256
Epsilon;single;random10.bibtex;14;0;Run;Problems;1
