Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random10.bibtex;1;0;Initialization;Time;759166490
Epsilon;single;random10.bibtex;1;0;Initialization;Memory;8178848
Epsilon;single;random10.bibtex;1;0;Load;Time;333147928
Epsilon;single;random10.bibtex;1;0;Load;Memory;5519728
Epsilon;single;random10.bibtex;1;0;Run;Time;418696277
Epsilon;single;random10.bibtex;1;0;Run;Memory;11069456
Epsilon;single;random10.bibtex;1;0;Run;Problems;1
Epsilon;single;random10.bibtex;2;0;Initialization;Time;649186473
Epsilon;single;random10.bibtex;2;0;Initialization;Memory;8178640
Epsilon;single;random10.bibtex;2;0;Load;Time;262178679
Epsilon;single;random10.bibtex;2;0;Load;Memory;5518392
Epsilon;single;random10.bibtex;2;0;Run;Time;370947217
Epsilon;single;random10.bibtex;2;0;Run;Memory;11068264
Epsilon;single;random10.bibtex;2;0;Run;Problems;0
Epsilon;single;random10.bibtex;3;0;Initialization;Time;866420605
Epsilon;single;random10.bibtex;3;0;Initialization;Memory;8178120
Epsilon;single;random10.bibtex;3;0;Load;Time;346201072
Epsilon;single;random10.bibtex;3;0;Load;Memory;5519472
Epsilon;single;random10.bibtex;3;0;Run;Time;438224697
Epsilon;single;random10.bibtex;3;0;Run;Memory;11068384
Epsilon;single;random10.bibtex;3;0;Run;Problems;1
Epsilon;single;random10.bibtex;4;0;Initialization;Time;841928298
Epsilon;single;random10.bibtex;4;0;Initialization;Memory;8178776
Epsilon;single;random10.bibtex;4;0;Load;Time;343307739
Epsilon;single;random10.bibtex;4;0;Load;Memory;5507296
Epsilon;single;random10.bibtex;4;0;Run;Time;257345730
Epsilon;single;random10.bibtex;4;0;Run;Memory;12924648
Epsilon;single;random10.bibtex;4;0;Run;Problems;1
Epsilon;single;random10.bibtex;5;0;Initialization;Time;881264535
Epsilon;single;random10.bibtex;5;0;Initialization;Memory;8177600
Epsilon;single;random10.bibtex;5;0;Load;Time;303247808
Epsilon;single;random10.bibtex;5;0;Load;Memory;5518584
Epsilon;single;random10.bibtex;5;0;Run;Time;450370951
Epsilon;single;random10.bibtex;5;0;Run;Memory;11069160
Epsilon;single;random10.bibtex;5;0;Run;Problems;4
Epsilon;single;random10.bibtex;6;0;Initialization;Time;768374966
Epsilon;single;random10.bibtex;6;0;Initialization;Memory;8178440
Epsilon;single;random10.bibtex;6;0;Load;Time;321189152
Epsilon;single;random10.bibtex;6;0;Load;Memory;5519536
Epsilon;single;random10.bibtex;6;0;Run;Time;572869462
