Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
EMFSolutionXtend;single;random10.bibtex;1;0;Initialization;Time;183856710
EMFSolutionXtend;single;random10.bibtex;1;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;1;0;Load;Time;130158705
EMFSolutionXtend;single;random10.bibtex;1;0;Load;Memory;3000888
EMFSolutionXtend;single;random10.bibtex;1;0;Run;Time;13888206
EMFSolutionXtend;single;random10.bibtex;1;0;Run;Memory;3037824
EMFSolutionXtend;single;random10.bibtex;1;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;2;0;Initialization;Time;169612606
EMFSolutionXtend;single;random10.bibtex;2;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;2;0;Load;Time;121179449
EMFSolutionXtend;single;random10.bibtex;2;0;Load;Memory;3000880
EMFSolutionXtend;single;random10.bibtex;2;0;Run;Time;12989287
EMFSolutionXtend;single;random10.bibtex;2;0;Run;Memory;3036984
EMFSolutionXtend;single;random10.bibtex;2;0;Run;Problems;0
EMFSolutionXtend;single;random10.bibtex;3;0;Initialization;Time;171017005
EMFSolutionXtend;single;random10.bibtex;3;0;Initialization;Memory;2432944
EMFSolutionXtend;single;random10.bibtex;3;0;Load;Time;116905515
EMFSolutionXtend;single;random10.bibtex;3;0;Load;Memory;3000536
EMFSolutionXtend;single;random10.bibtex;3;0;Run;Time;13527092
EMFSolutionXtend;single;random10.bibtex;3;0;Run;Memory;3037720
EMFSolutionXtend;single;random10.bibtex;3;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;4;0;Initialization;Time;193934842
EMFSolutionXtend;single;random10.bibtex;4;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;4;0;Load;Time;154626774
EMFSolutionXtend;single;random10.bibtex;4;0;Load;Memory;3000880
EMFSolutionXtend;single;random10.bibtex;4;0;Run;Time;14232819
EMFSolutionXtend;single;random10.bibtex;4;0;Run;Memory;3037680
EMFSolutionXtend;single;random10.bibtex;4;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;5;0;Initialization;Time;168716704
EMFSolutionXtend;single;random10.bibtex;5;0;Initialization;Memory;2433120
EMFSolutionXtend;single;random10.bibtex;5;0;Load;Time;118958251
EMFSolutionXtend;single;random10.bibtex;5;0;Load;Memory;3000536
EMFSolutionXtend;single;random10.bibtex;5;0;Run;Time;14911541
EMFSolutionXtend;single;random10.bibtex;5;0;Run;Memory;3037720
EMFSolutionXtend;single;random10.bibtex;5;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;6;0;Initialization;Time;169257561
EMFSolutionXtend;single;random10.bibtex;6;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;6;0;Load;Time;120321152
EMFSolutionXtend;single;random10.bibtex;6;0;Load;Memory;3000880
EMFSolutionXtend;single;random10.bibtex;6;0;Run;Time;13348473
EMFSolutionXtend;single;random10.bibtex;6;0;Run;Memory;3038088
EMFSolutionXtend;single;random10.bibtex;6;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;7;0;Initialization;Time;170365365
EMFSolutionXtend;single;random10.bibtex;7;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;7;0;Load;Time;119260267
EMFSolutionXtend;single;random10.bibtex;7;0;Load;Memory;3000960
EMFSolutionXtend;single;random10.bibtex;7;0;Run;Time;12420909
EMFSolutionXtend;single;random10.bibtex;7;0;Run;Memory;3037064
EMFSolutionXtend;single;random10.bibtex;7;0;Run;Problems;0
EMFSolutionXtend;single;random10.bibtex;8;0;Initialization;Time;167376915
EMFSolutionXtend;single;random10.bibtex;8;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;8;0;Load;Time;115723941
EMFSolutionXtend;single;random10.bibtex;8;0;Load;Memory;3000880
EMFSolutionXtend;single;random10.bibtex;8;0;Run;Time;13178623
EMFSolutionXtend;single;random10.bibtex;8;0;Run;Memory;3038088
EMFSolutionXtend;single;random10.bibtex;8;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;9;0;Initialization;Time;182475846
EMFSolutionXtend;single;random10.bibtex;9;0;Initialization;Memory;2517888
EMFSolutionXtend;single;random10.bibtex;9;0;Load;Time;144216756
EMFSolutionXtend;single;random10.bibtex;9;0;Load;Memory;3000464
EMFSolutionXtend;single;random10.bibtex;9;0;Run;Time;14834430
EMFSolutionXtend;single;random10.bibtex;9;0;Run;Memory;3037680
EMFSolutionXtend;single;random10.bibtex;9;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;10;0;Initialization;Time;182811723
EMFSolutionXtend;single;random10.bibtex;10;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;10;0;Load;Time;136872500
EMFSolutionXtend;single;random10.bibtex;10;0;Load;Memory;3000944
EMFSolutionXtend;single;random10.bibtex;10;0;Run;Time;16274278
EMFSolutionXtend;single;random10.bibtex;10;0;Run;Memory;3037912
EMFSolutionXtend;single;random10.bibtex;10;0;Run;Problems;0
EMFSolutionXtend;single;random10.bibtex;11;0;Initialization;Time;171716067
EMFSolutionXtend;single;random10.bibtex;11;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;11;0;Load;Time;120101754
EMFSolutionXtend;single;random10.bibtex;11;0;Load;Memory;3000984
EMFSolutionXtend;single;random10.bibtex;11;0;Run;Time;15364838
EMFSolutionXtend;single;random10.bibtex;11;0;Run;Memory;3036800
EMFSolutionXtend;single;random10.bibtex;11;0;Run;Problems;0
EMFSolutionXtend;single;random10.bibtex;12;0;Initialization;Time;171073580
EMFSolutionXtend;single;random10.bibtex;12;0;Initialization;Memory;2516920
EMFSolutionXtend;single;random10.bibtex;12;0;Load;Time;119558214
EMFSolutionXtend;single;random10.bibtex;12;0;Load;Memory;3000768
EMFSolutionXtend;single;random10.bibtex;12;0;Run;Time;13548297
EMFSolutionXtend;single;random10.bibtex;12;0;Run;Memory;3037768
EMFSolutionXtend;single;random10.bibtex;12;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;13;0;Initialization;Time;169906178
EMFSolutionXtend;single;random10.bibtex;13;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;13;0;Load;Time;121875904
EMFSolutionXtend;single;random10.bibtex;13;0;Load;Memory;3000888
EMFSolutionXtend;single;random10.bibtex;13;0;Run;Time;13491733
EMFSolutionXtend;single;random10.bibtex;13;0;Run;Memory;3037824
EMFSolutionXtend;single;random10.bibtex;13;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;14;0;Initialization;Time;170503490
EMFSolutionXtend;single;random10.bibtex;14;0;Initialization;Memory;2517168
EMFSolutionXtend;single;random10.bibtex;14;0;Load;Time;118500808
EMFSolutionXtend;single;random10.bibtex;14;0;Load;Memory;3000464
EMFSolutionXtend;single;random10.bibtex;14;0;Run;Time;14479969
EMFSolutionXtend;single;random10.bibtex;14;0;Run;Memory;3037680
EMFSolutionXtend;single;random10.bibtex;14;0;Run;Problems;1
EMFSolutionXtend;single;random10.bibtex;15;0;Initialization;Time;168500895
EMFSolutionXtend;single;random10.bibtex;15;0;Initialization;Memory;2434056
EMFSolutionXtend;single;random10.bibtex;15;0;Load;Time;118693606
EMFSolutionXtend;single;random10.bibtex;15;0;Load;Memory;3000920
EMFSolutionXtend;single;random10.bibtex;15;0;Run;Time;13603487
EMFSolutionXtend;single;random10.bibtex;15;0;Run;Memory;3037720
EMFSolutionXtend;single;random10.bibtex;15;0;Run;Problems;1
