Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random10.bibtex;1;0;Initialization;Time;613082171
Epsilon;single;random10.bibtex;1;0;Initialization;Memory;4289624
Epsilon;single;random10.bibtex;1;0;Load;Time;214402631
Epsilon;single;random10.bibtex;1;0;Load;Memory;4869256
Epsilon;single;random10.bibtex;1;0;Run;Time;329067182
Epsilon;single;random10.bibtex;1;0;Run;Memory;12616536
Epsilon;single;random10.bibtex;1;0;Run;Problems;1
Epsilon;single;random10.bibtex;2;0;Initialization;Time;659378086
Epsilon;single;random10.bibtex;2;0;Initialization;Memory;4291792
Epsilon;single;random10.bibtex;2;0;Load;Time;206223308
Epsilon;single;random10.bibtex;2;0;Load;Memory;4873304
Epsilon;single;random10.bibtex;2;0;Run;Time;310887136
Epsilon;single;random10.bibtex;2;0;Run;Memory;12616352
Epsilon;single;random10.bibtex;2;0;Run;Problems;0
Epsilon;single;random10.bibtex;3;0;Initialization;Time;648272528
Epsilon;single;random10.bibtex;3;0;Initialization;Memory;4291776
Epsilon;single;random10.bibtex;3;0;Load;Time;233867635
Epsilon;single;random10.bibtex;3;0;Load;Memory;4869368
Epsilon;single;random10.bibtex;3;0;Run;Time;317503640
Epsilon;single;random10.bibtex;3;0;Run;Memory;12617032
Epsilon;single;random10.bibtex;3;0;Run;Problems;1
Epsilon;single;random10.bibtex;4;0;Initialization;Time;668187494
Epsilon;single;random10.bibtex;4;0;Initialization;Memory;4291848
Epsilon;single;random10.bibtex;4;0;Load;Time;215039531
Epsilon;single;random10.bibtex;4;0;Load;Memory;4860880
Epsilon;single;random10.bibtex;4;0;Run;Time;216421222
Epsilon;single;random10.bibtex;4;0;Run;Memory;12578008
Epsilon;single;random10.bibtex;4;0;Run;Problems;1
Epsilon;single;random10.bibtex;5;0;Initialization;Time;678124296
Epsilon;single;random10.bibtex;5;0;Initialization;Memory;4291920
Epsilon;single;random10.bibtex;5;0;Load;Time;209220216
Epsilon;single;random10.bibtex;5;0;Load;Memory;4870728
Epsilon;single;random10.bibtex;5;0;Run;Time;315393608
Epsilon;single;random10.bibtex;5;0;Run;Memory;12617096
Epsilon;single;random10.bibtex;5;0;Run;Problems;1
Epsilon;single;random10.bibtex;6;0;Initialization;Time;649061638
Epsilon;single;random10.bibtex;6;0;Initialization;Memory;4288576
Epsilon;single;random10.bibtex;6;0;Load;Time;187218147
Epsilon;single;random10.bibtex;6;0;Load;Memory;4872128
Epsilon;single;random10.bibtex;6;0;Run;Time;302013221
Epsilon;single;random10.bibtex;6;0;Run;Memory;12615936
Epsilon;single;random10.bibtex;6;0;Run;Problems;1
Epsilon;single;random10.bibtex;7;0;Initialization;Time;657584833
Epsilon;single;random10.bibtex;7;0;Initialization;Memory;4315144
Epsilon;single;random10.bibtex;7;0;Load;Time;199910858
Epsilon;single;random10.bibtex;7;0;Load;Memory;4873352
Epsilon;single;random10.bibtex;7;0;Run;Time;307244697
Epsilon;single;random10.bibtex;7;0;Run;Memory;12616272
Epsilon;single;random10.bibtex;7;0;Run;Problems;0
Epsilon;single;random10.bibtex;8;0;Initialization;Time;653384886
Epsilon;single;random10.bibtex;8;0;Initialization;Memory;4291488
Epsilon;single;random10.bibtex;8;0;Load;Time;200538112
Epsilon;single;random10.bibtex;8;0;Load;Memory;4870736
Epsilon;single;random10.bibtex;8;0;Run;Time;319852404
Epsilon;single;random10.bibtex;8;0;Run;Memory;12610992
Epsilon;single;random10.bibtex;8;0;Run;Problems;1
Epsilon;single;random10.bibtex;9;0;Initialization;Time;661480780
Epsilon;single;random10.bibtex;9;0;Initialization;Memory;4291848
Epsilon;single;random10.bibtex;9;0;Load;Time;202842946
Epsilon;single;random10.bibtex;9;0;Load;Memory;4872520
Epsilon;single;random10.bibtex;9;0;Run;Time;328172397
Epsilon;single;random10.bibtex;9;0;Run;Memory;12615864
Epsilon;single;random10.bibtex;9;0;Run;Problems;1
Epsilon;single;random10.bibtex;10;0;Initialization;Time;665596372
Epsilon;single;random10.bibtex;10;0;Initialization;Memory;4291920
Epsilon;single;random10.bibtex;10;0;Load;Time;212656207
Epsilon;single;random10.bibtex;10;0;Load;Memory;4873288
Epsilon;single;random10.bibtex;10;0;Run;Time;314842839
Epsilon;single;random10.bibtex;10;0;Run;Memory;12616496
Epsilon;single;random10.bibtex;10;0;Run;Problems;0
Epsilon;single;random10.bibtex;11;0;Initialization;Time;661361518
Epsilon;single;random10.bibtex;11;0;Initialization;Memory;4291920
Epsilon;single;random10.bibtex;11;0;Load;Time;189923830
Epsilon;single;random10.bibtex;11;0;Load;Memory;4870888
Epsilon;single;random10.bibtex;11;0;Run;Time;313040970
Epsilon;single;random10.bibtex;11;0;Run;Memory;12616664
Epsilon;single;random10.bibtex;11;0;Run;Problems;0
Epsilon;single;random10.bibtex;12;0;Initialization;Time;658335784
Epsilon;single;random10.bibtex;12;0;Initialization;Memory;4288576
Epsilon;single;random10.bibtex;12;0;Load;Time;195713152
Epsilon;single;random10.bibtex;12;0;Load;Memory;4870408
Epsilon;single;random10.bibtex;12;0;Run;Time;302229169
Epsilon;single;random10.bibtex;12;0;Run;Memory;12617096
Epsilon;single;random10.bibtex;12;0;Run;Problems;1
Epsilon;single;random10.bibtex;13;0;Initialization;Time;662343666
Epsilon;single;random10.bibtex;13;0;Initialization;Memory;4291920
Epsilon;single;random10.bibtex;13;0;Load;Time;215089053
Epsilon;single;random10.bibtex;13;0;Load;Memory;4873256
Epsilon;single;random10.bibtex;13;0;Run;Time;320935349
Epsilon;single;random10.bibtex;13;0;Run;Memory;12616832
Epsilon;single;random10.bibtex;13;0;Run;Problems;1
Epsilon;single;random10.bibtex;14;0;Initialization;Time;653720758
Epsilon;single;random10.bibtex;14;0;Initialization;Memory;4291920
Epsilon;single;random10.bibtex;14;0;Load;Time;204341402
Epsilon;single;random10.bibtex;14;0;Load;Memory;4867192
Epsilon;single;random10.bibtex;14;0;Run;Time;290513256
Epsilon;single;random10.bibtex;14;0;Run;Memory;12612712
Epsilon;single;random10.bibtex;14;0;Run;Problems;1
Epsilon;single;random10.bibtex;15;0;Initialization;Time;645491809
Epsilon;single;random10.bibtex;15;0;Initialization;Memory;4291848
Epsilon;single;random10.bibtex;15;0;Load;Time;203443200
Epsilon;single;random10.bibtex;15;0;Load;Memory;4873216
Epsilon;single;random10.bibtex;15;0;Run;Time;291795123
Epsilon;single;random10.bibtex;15;0;Run;Memory;12617112
Epsilon;single;random10.bibtex;15;0;Run;Problems;1
Epsilon;single;random10.bibtex;16;0;Initialization;Time;659071907
Epsilon;single;random10.bibtex;16;0;Initialization;Memory;4291856
Epsilon;single;random10.bibtex;16;0;Load;Time;214188081
Epsilon;single;random10.bibtex;16;0;Load;Memory;4871432
Epsilon;single;random10.bibtex;16;0;Run;Time;344739101
Epsilon;single;random10.bibtex;16;0;Run;Memory;12616880
Epsilon;single;random10.bibtex;16;0;Run;Problems;0
Epsilon;single;random10.bibtex;17;0;Initialization;Time;658151396
Epsilon;single;random10.bibtex;17;0;Initialization;Memory;4438584
Epsilon;single;random10.bibtex;17;0;Load;Time;208652164
Epsilon;single;random10.bibtex;17;0;Load;Memory;4870728
Epsilon;single;random10.bibtex;17;0;Run;Time;309965950
Epsilon;single;random10.bibtex;17;0;Run;Memory;12616392
Epsilon;single;random10.bibtex;17;0;Run;Problems;0
Epsilon;single;random10.bibtex;18;0;Initialization;Time;661027773
Epsilon;single;random10.bibtex;18;0;Initialization;Memory;4290488
Epsilon;single;random10.bibtex;18;0;Load;Time;209114990
Epsilon;single;random10.bibtex;18;0;Load;Memory;4873000
Epsilon;single;random10.bibtex;18;0;Run;Time;308930105
Epsilon;single;random10.bibtex;18;0;Run;Memory;12616784
Epsilon;single;random10.bibtex;18;0;Run;Problems;1
Epsilon;single;random10.bibtex;19;0;Initialization;Time;658053482
Epsilon;single;random10.bibtex;19;0;Initialization;Memory;4288576
Epsilon;single;random10.bibtex;19;0;Load;Time;203536377
Epsilon;single;random10.bibtex;19;0;Load;Memory;4870408
Epsilon;single;random10.bibtex;19;0;Run;Time;300922267
Epsilon;single;random10.bibtex;19;0;Run;Memory;12617096
Epsilon;single;random10.bibtex;19;0;Run;Problems;1
Epsilon;single;random10.bibtex;20;0;Initialization;Time;677716452
Epsilon;single;random10.bibtex;20;0;Initialization;Memory;4291848
Epsilon;single;random10.bibtex;20;0;Load;Time;208332981
Epsilon;single;random10.bibtex;20;0;Load;Memory;4871944
Epsilon;single;random10.bibtex;20;0;Run;Time;310776288
Epsilon;single;random10.bibtex;20;0;Run;Memory;12616368
Epsilon;single;random10.bibtex;20;0;Run;Problems;0
Epsilon;single;random10.bibtex;21;0;Initialization;Time;677491834
Epsilon;single;random10.bibtex;21;0;Initialization;Memory;4288576
Epsilon;single;random10.bibtex;21;0;Load;Time;214994629
Epsilon;single;random10.bibtex;21;0;Load;Memory;4870888
Epsilon;single;random10.bibtex;21;0;Run;Time;323515314
Epsilon;single;random10.bibtex;21;0;Run;Memory;12616528
Epsilon;single;random10.bibtex;21;0;Run;Problems;0
Epsilon;single;random10.bibtex;22;0;Initialization;Time;662844017
Epsilon;single;random10.bibtex;22;0;Initialization;Memory;4288504
Epsilon;single;random10.bibtex;22;0;Load;Time;188205939
Epsilon;single;random10.bibtex;22;0;Load;Memory;4871280
Epsilon;single;random10.bibtex;22;0;Run;Time;322390424
Epsilon;single;random10.bibtex;22;0;Run;Memory;12616888
Epsilon;single;random10.bibtex;22;0;Run;Problems;1
Epsilon;single;random10.bibtex;23;0;Initialization;Time;658930545
Epsilon;single;random10.bibtex;23;0;Initialization;Memory;4288576
Epsilon;single;random10.bibtex;23;0;Load;Time;210689407
