Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random1000.bibtex;1;0;Initialization;Time;908515397
Epsilon;single;random1000.bibtex;1;0;Initialization;Memory;4304128
Epsilon;single;random1000.bibtex;1;0;Load;Time;818678268
Epsilon;single;random1000.bibtex;1;0;Load;Memory;7163808
Epsilon;single;random1000.bibtex;1;0;Run;Time;305927870779
Epsilon;single;random1000.bibtex;1;0;Run;Memory;17421928
Epsilon;single;random1000.bibtex;1;0;Run;Problems;1
Epsilon;single;random1000.bibtex;2;0;Initialization;Time;1166600452
Epsilon;single;random1000.bibtex;2;0;Initialization;Memory;4303944
Epsilon;single;random1000.bibtex;2;0;Load;Time;863380918
Epsilon;single;random1000.bibtex;2;0;Load;Memory;7165872
Epsilon;single;random1000.bibtex;2;0;Run;Time;290722924226
Epsilon;single;random1000.bibtex;2;0;Run;Memory;17421248
Epsilon;single;random1000.bibtex;2;0;Run;Problems;0
Epsilon;single;random1000.bibtex;3;0;Initialization;Time;1196874438
Epsilon;single;random1000.bibtex;3;0;Initialization;Memory;4304096
Epsilon;single;random1000.bibtex;3;0;Load;Time;848112646
Epsilon;single;random1000.bibtex;3;0;Load;Memory;7168872
Epsilon;single;random1000.bibtex;3;0;Run;Time;292115935755
Epsilon;single;random1000.bibtex;3;0;Run;Memory;17424408
Epsilon;single;random1000.bibtex;3;0;Run;Problems;1
Epsilon;single;random1000.bibtex;4;0;Initialization;Time;1203574984
Epsilon;single;random1000.bibtex;4;0;Initialization;Memory;4303944
Epsilon;single;random1000.bibtex;4;0;Load;Time;732369737
Epsilon;single;random1000.bibtex;4;0;Load;Memory;6199720
Epsilon;single;random1000.bibtex;4;0;Run;Time;15493931971
Epsilon;single;random1000.bibtex;4;0;Run;Memory;14328032
Epsilon;single;random1000.bibtex;4;0;Run;Problems;1
Epsilon;single;random1000.bibtex;5;0;Initialization;Time;1275156840
Epsilon;single;random1000.bibtex;5;0;Initialization;Memory;4304800
Epsilon;single;random1000.bibtex;5;0;Load;Time;748116867
Epsilon;single;random1000.bibtex;5;0;Load;Memory;7163168
Epsilon;single;random1000.bibtex;5;0;Run;Time;318577655977
Epsilon;single;random1000.bibtex;5;0;Run;Memory;17419584
Epsilon;single;random1000.bibtex;5;0;Run;Problems;0
Epsilon;single;random1000.bibtex;6;0;Initialization;Time;1386676194
Epsilon;single;random1000.bibtex;6;0;Initialization;Memory;4302672
Epsilon;single;random1000.bibtex;6;0;Load;Time;909015818
Epsilon;single;random1000.bibtex;6;0;Load;Memory;7150328
Epsilon;single;random1000.bibtex;6;0;Run;Time;299485910291
Epsilon;single;random1000.bibtex;6;0;Run;Memory;17378016
Epsilon;single;random1000.bibtex;6;0;Run;Problems;1
Epsilon;single;random1000.bibtex;7;0;Initialization;Time;1417200384
Epsilon;single;random1000.bibtex;7;0;Initialization;Memory;4302784
Epsilon;single;random1000.bibtex;7;0;Load;Time;839370672
Epsilon;single;random1000.bibtex;7;0;Load;Memory;7165824
Epsilon;single;random1000.bibtex;7;0;Run;Time;331067962105
Epsilon;single;random1000.bibtex;7;0;Run;Memory;17420760
Epsilon;single;random1000.bibtex;7;0;Run;Problems;0
Epsilon;single;random1000.bibtex;8;0;Initialization;Time;1033215910
Epsilon;single;random1000.bibtex;8;0;Initialization;Memory;4300496
Epsilon;single;random1000.bibtex;8;0;Load;Time;847494481
Epsilon;single;random1000.bibtex;8;0;Load;Memory;7126056
Epsilon;single;random1000.bibtex;8;0;Run;Time;312125028117
Epsilon;single;random1000.bibtex;8;0;Run;Memory;17277264
Epsilon;single;random1000.bibtex;8;0;Run;Problems;1
Epsilon;single;random1000.bibtex;9;0;Initialization;Time;1300629502
Epsilon;single;random1000.bibtex;9;0;Initialization;Memory;4304168
Epsilon;single;random1000.bibtex;9;0;Load;Time;864461560
Epsilon;single;random1000.bibtex;9;0;Load;Memory;7144968
Epsilon;single;random1000.bibtex;9;0;Run;Time;380050611517
Epsilon;single;random1000.bibtex;9;0;Run;Memory;17375672
Epsilon;single;random1000.bibtex;9;0;Run;Problems;1
Epsilon;single;random1000.bibtex;10;0;Initialization;Time;1281823518
Epsilon;single;random1000.bibtex;10;0;Initialization;Memory;4304184
Epsilon;single;random1000.bibtex;10;0;Load;Time;781651411
Epsilon;single;random1000.bibtex;10;0;Load;Memory;7163048
Epsilon;single;random1000.bibtex;10;0;Run;Time;292615319595
Epsilon;single;random1000.bibtex;10;0;Run;Memory;17420848
Epsilon;single;random1000.bibtex;10;0;Run;Problems;0
Epsilon;single;random1000.bibtex;11;0;Initialization;Time;1411486306
Epsilon;single;random1000.bibtex;11;0;Initialization;Memory;4304168
Epsilon;single;random1000.bibtex;11;0;Load;Time;815580919
Epsilon;single;random1000.bibtex;11;0;Load;Memory;7163592
Epsilon;single;random1000.bibtex;11;0;Run;Time;370310413840
Epsilon;single;random1000.bibtex;11;0;Run;Memory;17418936
Epsilon;single;random1000.bibtex;11;0;Run;Problems;0
Epsilon;single;random1000.bibtex;12;0;Initialization;Time;1290645744
Epsilon;single;random1000.bibtex;12;0;Initialization;Memory;4475616
Epsilon;single;random1000.bibtex;12;0;Load;Time;868640769
Epsilon;single;random1000.bibtex;12;0;Load;Memory;7169408
Epsilon;single;random1000.bibtex;12;0;Run;Time;333758966461
Epsilon;single;random1000.bibtex;12;0;Run;Memory;17426336
Epsilon;single;random1000.bibtex;12;0;Run;Problems;1
Epsilon;single;random1000.bibtex;13;0;Initialization;Time;1042735398
Epsilon;single;random1000.bibtex;13;0;Initialization;Memory;4303976
Epsilon;single;random1000.bibtex;13;0;Load;Time;810084648
Epsilon;single;random1000.bibtex;13;0;Load;Memory;7162800
Epsilon;single;random1000.bibtex;13;0;Run;Time;349798875695
Epsilon;single;random1000.bibtex;13;0;Run;Memory;17419720
Epsilon;single;random1000.bibtex;13;0;Run;Problems;1
Epsilon;single;random1000.bibtex;14;0;Initialization;Time;1152825541
Epsilon;single;random1000.bibtex;14;0;Initialization;Memory;4300776
Epsilon;single;random1000.bibtex;14;0;Load;Time;777097285
Epsilon;single;random1000.bibtex;14;0;Load;Memory;6834552
Epsilon;single;random1000.bibtex;14;0;Run;Time;301489198047
Epsilon;single;random1000.bibtex;14;0;Run;Memory;17035440
Epsilon;single;random1000.bibtex;14;0;Run;Problems;1
Epsilon;single;random1000.bibtex;15;0;Initialization;Time;1071832133
Epsilon;single;random1000.bibtex;15;0;Initialization;Memory;4303840
Epsilon;single;random1000.bibtex;15;0;Load;Time;807411223
Epsilon;single;random1000.bibtex;15;0;Load;Memory;7163784
Epsilon;single;random1000.bibtex;15;0;Run;Time;310732332352
Epsilon;single;random1000.bibtex;15;0;Run;Memory;17419672
Epsilon;single;random1000.bibtex;15;0;Run;Problems;1
Epsilon;single;random1000.bibtex;16;0;Initialization;Time;1296510557
Epsilon;single;random1000.bibtex;16;0;Initialization;Memory;4304112
Epsilon;single;random1000.bibtex;16;0;Load;Time;848024363
Epsilon;single;random1000.bibtex;16;0;Load;Memory;7167264
Epsilon;single;random1000.bibtex;16;0;Run;Time;292705198857
Epsilon;single;random1000.bibtex;16;0;Run;Memory;17423048
Epsilon;single;random1000.bibtex;16;0;Run;Problems;1
Epsilon;single;random1000.bibtex;17;0;Initialization;Time;1204770198
Epsilon;single;random1000.bibtex;17;0;Initialization;Memory;4304168
Epsilon;single;random1000.bibtex;17;0;Load;Time;869257736
Epsilon;single;random1000.bibtex;17;0;Load;Memory;7166760
Epsilon;single;random1000.bibtex;17;0;Run;Time;322902881886
Epsilon;single;random1000.bibtex;17;0;Run;Memory;17423088
Epsilon;single;random1000.bibtex;17;0;Run;Problems;0
Epsilon;single;random1000.bibtex;18;0;Initialization;Time;1148299313
Epsilon;single;random1000.bibtex;18;0;Initialization;Memory;4303904
Epsilon;single;random1000.bibtex;18;0;Load;Time;810566259
Epsilon;single;random1000.bibtex;18;0;Load;Memory;7166664
Epsilon;single;random1000.bibtex;18;0;Run;Time;300788658227
Epsilon;single;random1000.bibtex;18;0;Run;Memory;17423712
Epsilon;single;random1000.bibtex;18;0;Run;Problems;1
Epsilon;single;random1000.bibtex;19;0;Initialization;Time;1070907637
Epsilon;single;random1000.bibtex;19;0;Initialization;Memory;4302680
Epsilon;single;random1000.bibtex;19;0;Load;Time;836861847
Epsilon;single;random1000.bibtex;19;0;Load;Memory;7167264
Epsilon;single;random1000.bibtex;19;0;Run;Time;322652480394
Epsilon;single;random1000.bibtex;19;0;Run;Memory;17423848
Epsilon;single;random1000.bibtex;19;0;Run;Problems;1
Epsilon;single;random1000.bibtex;20;0;Initialization;Time;1222126477
